"ID_FIRM","P1110_B","P1110_E","P1120_B","P1120_E","P1130_B","P1130_E","P1140_B","P1140_E","P1150_B","P1150_E","P1160_B","P1160_E","P1170_B","P1170_E","P1180_B","P1180_E","P1190_B","P1190_E","P1100_B","P1100_E","P1210_B","P1210_E","P1220_B","P1220_E","P1230_B","P1230_E","P1240_B","P1240_E","P1250_B","P1250_E","P1260_B","P1260_E","P1200_B","P1200_E","P1600_B","P1600_E","P1310_B","P1310_E","P1320_B","P1320_E","P1340_B","P1340_E","P1350_B","P1350_E","P1360_B","P1360_E","P1370_B","P1370_E","P1300_B","P1300_E","P1410_B","P1410_E","P1420_B","P1420_E","P1430_B","P1430_E","P1450_B","P1450_E","P1400_B","P1400_E","P1510_B","P1510_E","P1520_B","P1520_E","P1530_B","P1530_E","P1540_B","P1540_E","P1550_B","P1550_E","P1500_B","P1500_E","P1700_B","P1700_E","P2110_B","P2110_E","P2120_B","P2120_E","P2100_B","P2100_E","P2210_B","P2210_E","P2220_B","P2220_E","P2200_B","P2200_E","P2310_B","P2310_E","P2320_B","P2320_E","P2330_B","P2330_E","P2340_B","P2340_E","P2350_B","P2350_E","P2300_B","P2300_E","P2410_B","P2410_E","P2421_B","P2421_E","P2430_B","P2430_E","P2450_B","P2450_E","P2460_B","P2460_E","P2400_B","P2400_E","BANKR"
40,0,0,0,0,0,0,0,0,36730,34429,0,0,0,0,1268,993,0,0,37998,35422,1132,1116,1,0,1470,26437,101393,77104,5616,17566,3891,3778,113503,126001,151501,161423,30612,30612,0,0,159,159,0,0,1548,1548,112924,116048,145243,148367,0,0,659,583,0,0,0,0,659,583,0,0,5501,6088,0,0,0,0,0,0,5501,6088,151403,155038,58581,55359,2878,2657,55703,52702,0,0,45381,48606,10322,4096,0,5166,1361,0,0,0,2948761,1473708,2896047,1523687,64397,-40717,5931,106,-270,-888,188,72,113,276,0,0,58391,-40619,0
41,2433,2020,0,0,0,0,0,0,118404,93296,22461,18313,1319,1319,1007,1131,0,0,145624,116079,59339,60749,0,0,342500,246754,69155,138285,1626,69,678,359,473298,446216,618922,562295,712,712,0,0,30586,29925,0,0,360,360,502458,495686,534116,526683,0,0,0,0,0,0,0,0,0,0,0,0,91009,34902,0,0,0,0,0,0,91009,34902,625125,561585,208985,151502,208191,155372,794,-3870,0,0,0,0,794,-3870,0,0,1946,347,0,0,8558,158744,11595,168266,-297,-13045,1781,0,-1261,-1156,0,0,68,91,0,0,-2010,-12954,0
42,0,192361,0,0,2813,2813,0,0,97659,55796,0,0,52767,0,24373,37591,0,0,177612,288561,127602,135776,465,1,26189,25236,2974,799,304,401,0,0,157534,162213,335146,450774,30,30,0,0,19484,212413,0,0,1,1,-129639,-203384,-110124,9060,0,0,8874,5207,0,0,0,0,8874,5207,264818,275455,171396,145013,0,0,4024,8570,0,0,440238,429038,338988,443305,179340,216460,88327,111156,91013,105304,27261,26065,76999,96412,-13247,-17173,0,0,29,13,20143,15537,70756,121666,36356,180756,1039,-91787,0,0,-734,-2890,2866,3662,2241,13272,0,2481,414,-84658,0
43,0,0,0,0,0,0,0,0,94954,110112,0,0,0,0,51715,57994,0,0,146669,168106,127012,231877,1,132,67059,105721,0,0,3632,3567,0,0,197704,341297,344373,509403,12,12,0,0,0,0,29800,29800,0,0,-283197,-289062,-253385,-259250,0,0,7454,14546,0,0,0,0,7454,14546,277182,271648,316357,477702,0,0,5341,4713,0,0,598880,754063,352949,509359,246583,230613,233592,218967,12991,11646,13247,7282,0,0,-256,4364,0,0,0,0,2421,2341,3565,5699,7111,7813,-6223,-91,0,0,306,-897,543,6834,60,5388,661,464,-7367,-2001,0
44,4,0,0,0,0,0,0,0,19760,627,0,0,0,0,23249,26852,0,0,43013,27479,15871,10419,121,0,69200,66729,76,76,53,27177,453,0,85774,104401,128787,131880,18,18,0,0,16662,16662,0,0,0,0,-300234,-294267,-283554,-277587,225956,195892,1230,4751,0,0,0,0,227186,200643,33505,36287,148977,165417,0,0,0,0,0,0,182482,201704,126114,124760,26544,6818,35912,9054,-9368,-2236,0,0,13857,6012,-23225,-8248,0,0,42,0,0,0,8791,41407,27848,22660,-42240,10499,0,3394,-3103,-1137,3274,3570,66,3249,111,3,-45559,6781,0
45,0,0,0,0,0,0,0,0,1275175,1017236,0,0,9824,0,7047,4650,0,0,1292046,1021886,853447,177524,67833,1832,832974,497573,145851,332496,222999,440450,5651,44,2128755,1449919,3420801,2471805,634367,634367,0,0,0,0,632720,632720,32127,32127,1341652,947349,2640866,2246563,0,0,3171,0,0,0,0,0,3171,0,0,0,687649,236306,0,0,20461,1055,0,0,708110,237361,3352147,2483924,3853815,1198473,3671392,1047519,182423,150954,146373,68441,368205,145792,-332155,-63279,0,0,29077,39280,19664,0,1038597,986006,890184,1060995,-174329,-98988,58116,0,53395,28063,2214,3201,1680,2441,0,22262,-232979,-122010,0
46,0,0,1163,1163,0,0,0,0,230629,222174,0,0,0,0,247056,247056,0,0,478848,470393,171854,169817,1165,1165,1871308,996456,110371,97843,13,538,12431,12431,2167142,1278250,2645990,1748643,53,53,0,0,39511,39511,0,0,8,8,-743532,-1894297,-703960,-1854725,2054136,2026581,360,360,0,0,0,0,2054496,2026941,359121,359121,866042,1108526,0,0,0,0,0,0,1225163,1467647,2575699,1639863,125682,111892,80322,63116,45360,48776,965,15,129578,130797,-85183,-82036,0,0,5750,0,62406,0,30743,26019,164527,1096243,-275623,-1152260,0,0,0,0,0,0,0,0,2,0,-275625,-1152260,0
47,477,415,14951,13394,0,0,0,0,56553,63546,0,0,0,0,12776,22053,0,0,84757,99408,421040,467725,231,5,94381,134946,0,63651,1998,1062,224,139,517874,667528,602631,766936,66,66,0,0,22260,20506,0,0,10,10,58420,148847,80756,169429,0,0,13303,17542,0,0,0,0,13303,17542,0,68605,467156,466613,747,454,36783,43409,0,0,504686,579081,598745,766052,2458780,2755496,2040571,2534843,418209,220653,34001,37271,293580,302248,90628,-118866,0,0,71,365,0,4924,59892,203541,32486,44048,118105,36068,14261,30349,-1087,-4171,3303,4711,5091,9155,17,2,105615,10161,0
48,0,0,0,0,0,0,0,0,40815,42911,0,0,1,0,2925,7835,0,0,43741,50746,54617,123875,502,15,37532,60151,0,1,83,2643,108,146,92842,186831,136583,237577,10202,10202,0,0,40455,39427,0,0,491,491,13940,6633,65088,56753,0,0,0,4106,0,0,0,0,0,4106,7567,60576,63415,111732,0,0,0,2296,0,0,70982,174604,136070,235463,95975,113558,75392,83528,20583,30030,323,410,19707,32154,553,-2534,0,0,0,0,135,678,16860,18825,25726,23110,-8448,-7497,0,0,0,-802,0,4196,769,4900,450,17,-8129,-6810,0
49,0,0,0,0,0,0,0,0,392155,361954,8312,7974,8610,6725,1901,1939,8357,2115,419335,380707,706684,664046,0,0,394318,352596,743532,1254617,58180,8337,8096,3966,1910810,2283562,2330145,2664269,91710,91710,0,0,0,0,0,0,4597,4597,1886629,2235776,1982936,2332083,0,0,30212,23040,0,0,0,0,30212,23040,0,0,343459,292363,0,0,13093,14100,0,0,356552,306463,2369700,2661586,1851170,2788311,1412984,2117299,438186,671012,72688,93724,123062,154837,242436,422451,0,0,62679,82609,0,0,103292,76445,180626,112131,227781,469374,48333,100892,-3098,-3704,2912,6987,64,55,0,2235,176600,359315,0
50,7,3,0,0,0,0,0,0,321765,298351,0,0,0,0,9744,11833,1256,695,332772,310882,377891,178496,0,0,237489,36444,9,9,1617,2371,0,0,617006,217320,949778,528202,4995,4995,0,0,31641,32012,0,0,259,259,345414,379295,382309,416561,0,0,0,0,0,0,0,0,0,0,20518,0,562851,105527,0,0,0,0,0,0,583369,105527,965678,522088,2336514,1326866,2279530,1164998,56984,161868,22889,72963,0,0,34095,88905,26,78,1728,816,8059,422,22796,38126,28288,73594,22298,53909,10968,20246,-1274,-5651,0,0,4542,2086,0,1362,15872,34387,0
51,0,0,0,0,0,0,0,0,150069,152769,0,0,0,0,0,155,0,0,150069,152924,771,706,5224,0,41958,71862,199650,226163,111194,120716,0,0,358797,419447,508866,572371,9752,9752,0,0,25013,24700,0,0,2419,2419,466383,501525,503567,538396,0,0,0,49,0,0,0,0,0,49,18795,23768,0,0,0,0,0,0,0,0,18795,23768,522362,562213,306862,313177,152690,187022,154172,126155,0,0,0,0,154172,126155,0,0,24121,0,0,0,40186,37003,73015,26947,145464,136211,28724,31314,0,45,0,50,0,155,45,0,116695,105002,0
52,0,0,0,0,0,0,0,0,32340,32479,0,0,306,0,1948,1629,0,0,34594,34108,31,0,1504,1543,15542,15267,0,0,297,84,21,21,17395,16915,51989,51023,24,24,0,0,4404,4404,0,0,4,4,21376,44539,25808,48971,0,0,0,0,0,0,0,0,0,0,1122,432,24322,1991,0,0,0,0,0,0,25444,2423,51252,51394,51,0,0,0,51,0,0,0,2110,1048,-2059,-1048,0,0,0,0,142,179,3150,24858,1263,450,-314,23181,13,175,-13,0,0,0,220,335,0,0,-107,23341,0
53,0,0,0,0,0,0,0,0,11185,10884,0,0,511,581,19,267,0,0,11715,11732,20114,13255,0,0,65852,27056,4163,0,2816,22522,0,0,92945,62833,104660,74565,6,6,0,0,5691,5691,0,0,0,0,60228,50418,65925,56115,0,0,837,57,0,0,0,0,837,57,0,0,31492,13638,0,0,4290,5393,0,0,35782,19031,102544,75203,242022,213448,240986,220875,1036,-7427,0,0,0,0,1036,-7427,0,0,1525,509,1,0,464,4542,2908,4795,116,-7171,1894,772,-77,111,308,808,7,253,4,9891,-2083,-18389,0
54,0,0,0,0,0,0,0,0,7604,7463,0,0,0,0,5,6,305,305,7914,7774,3633,3179,0,0,9291,6952,0,0,1018,3002,88,2,14030,13135,21944,20909,385,385,0,0,18881,18881,0,0,0,0,-1385,-1336,17881,17930,0,0,20,17,0,0,0,0,20,17,0,0,4265,3027,0,0,0,0,0,0,4265,3027,22166,20974,55455,44574,41619,33002,13836,11572,0,0,9759,10053,4077,1519,0,0,0,0,0,0,287,317,2754,602,1610,1234,129,40,120,18,7,3,0,1,0,0,1474,1192,0
55,0,0,0,0,0,0,0,0,41752,36807,0,0,20,20,0,0,2356,2356,44128,39183,44050,49836,0,0,15731,10172,0,0,210,292,0,0,59991,60300,104119,99483,2926,2926,0,0,0,0,43670,43670,0,0,15071,13884,61667,60480,12454,15165,0,0,0,0,0,0,12454,15165,0,0,29013,23550,0,0,0,0,0,0,29013,23550,103134,99195,149403,126534,143900,120797,5503,5737,142,155,0,0,5361,5582,0,0,0,0,1850,1802,0,250,4973,5187,-1462,-1157,23,215,0,0,0,0,0,0,0,0,-1485,-1372,0
56,0,0,0,0,0,0,0,0,11504,10704,0,0,1099,0,0,0,0,0,12603,10704,19047,13955,0,0,16645,22565,0,0,837,1859,297,410,36826,38789,49429,49493,7790,7790,0,0,2710,2710,0,0,0,0,9500,10367,20000,20867,0,0,51,55,0,0,0,0,51,55,0,0,28771,27578,0,0,1055,1165,0,0,29826,28743,49877,49665,271486,268175,264820,259979,6666,8196,0,0,0,0,6666,8196,0,0,22,10,0,0,5555,3248,4143,8335,8100,3119,2291,3112,-661,-960,3,3,0,0,0,0,5806,4,0
57,0,0,0,0,0,0,0,0,71603,62361,0,0,32,32,12936,7214,234,306,84805,69913,175394,153443,33722,770,587891,505026,0,0,126076,42384,2389,1013,925472,702636,1010277,772549,500,500,0,0,118,118,5065,5065,25,25,186561,228514,192269,234222,0,0,0,0,0,0,0,0,0,0,0,0,725282,543263,0,0,13856,19923,106361,0,845499,563186,1037768,797408,1276720,1018659,1020089,755505,256631,263154,0,0,122899,172028,133732,91126,0,0,4693,6623,0,0,60110,83843,119872,126188,78663,55404,8338,21501,-4490,-9665,510,2570,9566,3001,23439,0,55942,34334,0
58,0,0,0,0,0,0,0,0,1761810,1713447,0,0,17749,31796,17106,18428,4452,3360,1801117,1767031,54841,91054,0,149,136453,111339,0,0,93935,100165,491,974,285720,303681,2086837,2070712,1266,1266,0,0,0,0,1166506,1166506,65,65,734834,758058,1902671,1925895,10363,23908,15648,13561,0,0,0,0,26011,37469,0,50,139626,69973,0,0,10164,10248,0,0,149790,80271,2078472,2043635,754505,772969,628727,683692,125778,89277,0,0,0,0,125778,89277,0,0,7373,4531,557,2491,13923,21833,57595,39468,88922,73682,36994,24205,-14744,-8547,80,2432,3544,836,5,3942,55387,43939,0
59,0,0,0,0,0,0,0,0,46127,24828,0,30046,0,0,456,596,0,0,46583,55470,4788,3629,0,0,14179,11700,0,0,3481,5173,0,0,22448,20502,69031,75972,3,3,0,0,9717,9717,0,0,0,0,40263,29302,49983,39022,0,0,347,488,0,0,0,0,347,488,9258,12482,7620,22142,0,0,2415,2733,0,0,19293,37357,69623,76867,97648,92554,81582,88116,16066,4438,0,0,0,0,16066,4438,0,0,0,0,1331,2827,954,896,1920,2182,13769,325,3321,0,-154,-121,190,140,456,131,27,192,10687,124,0
60,1446,1242,0,0,0,0,0,0,47739,46564,0,0,100,100,42941,55583,911,421,93137,103910,13233,9574,11,20,252186,207337,0,0,16569,58,2087,1688,284086,218677,377223,322587,6451,6451,0,0,23839,23839,0,0,318,318,36101,-28852,66709,1756,0,0,7650,5513,0,0,0,0,7650,5513,34902,21050,239117,267989,0,0,38755,30520,0,0,312774,319559,387133,326828,371980,328199,335013,268661,36967,59538,0,0,139473,126568,-102506,-67030,0,0,0,0,7612,5427,2408,65282,93246,67832,-200956,-75007,0,0,-3877,-2464,15496,1901,22658,11312,0,0,-193794,-65596,0
61,158346,243494,18087,62729,0,0,0,0,51031,40132,0,0,525678,525678,4105,24185,250018,91106,1007265,987324,123251,145287,39937,36532,184696,130493,0,0,171599,164904,23159,45478,542642,522694,1549907,1510018,722228,722228,0,0,9983,10024,0,0,633,1353,563719,534696,1296563,1268301,0,0,15615,33284,0,0,0,0,15615,33284,0,0,188273,157506,0,0,16076,13551,3174,5309,207523,176366,1519701,1477951,519717,401470,499734,377937,19983,23533,0,0,0,0,19983,23533,21910,0,2471,3706,0,0,266,3794,39808,62922,4822,-31889,1476,0,704,7106,178,16223,3108,16850,220,534,6056,-31796,0
62,386,315,0,0,0,0,0,0,42287,26231,1335,1280,837,845,184987,186083,916,125,230748,214879,209564,144965,0,0,180390,109818,8766,8766,11506,29765,64904,7040,475130,300354,705878,515233,17665,17665,0,0,12995,10785,0,0,1949,1949,-14399701,-14159205,-14367092,-14128806,0,0,29172,15813,0,0,0,0,29172,15813,423014,423014,14311231,14048731,0,0,15032,650,169,29,14749446,14472424,411526,359431,188031,44880,335463,81330,-147432,-36450,5665,904,104016,44725,-257113,-82079,0,0,452,0,0,0,20845,74695,12610892,117800,-12846708,-125184,0,0,2472420,10547,17441,14778,40877,523,14225,8629,-12837497,-148068,0
63,111,82,0,0,0,0,0,0,20275,16407,0,0,2,0,116096,110757,2919,1828,139403,129074,1920,1583,100,0,446983,405463,40115,38578,1880,2208,4658,1413,495656,449245,635059,578319,8022,8022,0,0,0,0,0,0,1256,1256,284539,281949,293817,291227,0,0,19696,14444,0,0,0,0,19696,14444,114092,62674,188161,197748,0,0,16629,13539,0,0,318882,273961,632395,579632,276640,434452,450187,307080,-173547,127372,0,0,94216,78053,-267763,49319,0,0,103,39,20216,11691,100098,19441,35980,46141,-223758,10967,0,0,2186,672,43315,4821,2889,7169,911,2425,-265095,10890,0
64,0,0,0,0,0,0,0,0,2543,2543,3839,3839,50,50,0,0,0,0,6432,6432,17749,23065,0,0,6275,3351,0,0,3,2,90,90,24117,26508,30549,32940,27,27,0,0,0,0,5473,5473,361,361,2719,3419,8580,9280,9040,0,0,0,0,0,0,0,9040,0,13127,11420,0,12474,0,0,0,0,0,0,13127,23894,30747,33174,30524,21049,29316,20253,1208,796,0,0,0,0,1208,796,0,0,0,0,0,0,3241,0,1636,0,2813,796,0,0,0,0,0,0,0,0,0,0,2813,796,0
65,0,0,0,0,0,0,0,0,19739,13567,0,0,0,0,1830,4274,0,0,21569,17841,29965,38274,0,0,5320,4192,0,0,1746,16,160,109,37191,42591,58760,60432,43258,43258,0,0,6765,4656,0,0,2128,2128,-16188,-26144,35963,23898,0,0,1163,926,0,0,0,0,1163,926,6147,0,14724,35188,0,0,58,153,0,0,20929,35341,58055,60165,39563,14985,42843,18194,-3280,-3209,0,0,10929,14959,-14209,-18168,0,0,0,0,3225,302,28378,14783,14588,10822,-3644,-14509,0,0,-1901,299,103,343,1405,2418,0,9,-2342,-12443,0
66,0,0,0,0,0,0,0,0,18587,17966,0,0,0,0,0,0,0,0,18587,17966,0,0,0,0,1749,383,0,0,9,33,0,0,1758,416,20345,18382,11098,11098,0,0,7308,7308,0,0,22,32,350,-1005,18778,17433,0,0,0,0,0,0,0,0,0,0,0,0,669,253,0,0,0,0,0,0,669,253,19447,17686,9538,7278,3479,2536,6059,4742,0,0,5477,5657,582,-915,0,0,0,0,0,0,0,0,429,285,153,-1200,0,0,0,0,0,0,0,0,108,75,45,-1275,0
67,0,0,0,0,0,0,0,0,3364700,3314822,0,0,3618,3618,117944,126131,629583,548026,4115845,3992597,214191,223754,69850,27401,358184,258578,0,0,10705,3485,1178360,389016,1831290,902234,5947135,4894831,58090,58090,0,0,1993558,1993558,0,0,7966,7966,-344746,-513252,1714868,1546362,784823,0,11911,3138,0,0,950977,257313,1747711,260451,399,1215618,2413898,1786146,0,0,66552,43979,0,0,2480849,3045743,5943428,4852556,422949,287317,333184,223294,89765,64023,1595,443,163219,159627,-75049,-96047,9,26,0,0,105127,59820,370557,404576,613081,418905,-422691,-170170,0,0,14066,13649,11517,8524,55872,10535,3905,5125,-382241,-173284,1
68,0,0,0,0,0,0,0,0,549,535,0,0,0,0,0,0,0,0,549,535,65,79,0,0,2037,1580,95,0,463,603,0,0,2660,2262,3209,2797,22,22,0,0,3548,3548,0,0,1,1,-452,-948,3119,2623,0,0,0,0,0,0,0,0,0,0,0,0,152,255,0,0,0,0,0,0,152,255,3271,2878,5038,5574,5106,5412,-68,162,0,0,684,436,-752,-274,0,0,31,17,0,0,79,171,479,30,-1121,-116,0,0,0,0,0,0,0,0,156,181,-1277,-297,0
69,0,0,0,0,0,0,0,0,38774,46060,0,0,6,6,3868,3788,0,0,42648,49854,2512897,2514128,1268,405,3769865,3576966,64390,54497,126531,7658,2762,10455,6477713,6164109,6520361,6213963,26605,26605,0,0,3803,3803,0,0,20302,20302,276379,338360,327089,389070,548,548,187217,184369,0,0,0,0,187765,184917,1723075,1734799,4151680,3825188,0,0,15980,8159,0,0,5890735,5568146,6405589,6142133,1215717,1153033,699050,1098594,516667,54439,0,0,269005,209567,247662,-155128,0,0,3963,5958,198207,92777,393908,376548,348782,203193,98544,-68592,495,0,-31716,10084,43922,1311,179,136,25117,677,29189,-70444,1
70,0,0,0,0,0,0,0,0,22314,14129,0,0,1,1,430,151,0,0,22745,14281,9861,17943,947,265,67286,91691,0,0,326,48,0,0,78420,109947,101165,124228,4055,4055,0,0,992,973,10127,10127,343,343,19711,17890,35228,33388,0,0,256,218,0,0,0,0,256,218,3196,7678,53440,73461,0,0,10501,10423,0,0,67137,91562,102621,125168,226880,262176,200540,221448,26340,40728,0,0,26233,28706,107,12022,0,0,28,142,465,428,7659,4203,18085,13961,-10756,1978,0,1976,-2120,-2176,244,36,1235,269,0,0,-9765,235,0
71,0,0,0,0,0,0,0,0,321,395,0,0,0,0,0,0,0,0,321,395,33,19,0,0,25552,7784,0,0,7417,8094,0,0,33002,15897,33323,16292,2,2,0,0,4,4,0,0,0,0,31523,15781,31529,15787,0,0,0,0,0,0,0,0,0,0,0,0,2684,304,0,0,0,0,0,0,2684,304,34213,16091,57123,16717,24062,12365,33061,4352,0,0,22503,17179,10558,-12827,0,0,0,0,0,0,2483,7,4207,1551,8834,-14371,0,0,0,0,0,0,0,0,1390,1047,7444,-15418,0
72,1,1,0,0,0,0,0,0,40926,50605,0,0,7949,7949,64,64,0,0,48940,58619,1274436,1288259,29586,6623,2805005,3271445,130640,114895,101953,229101,6636,8270,4348256,4918593,4397196,4977212,2952,2952,0,0,6496,6496,0,0,433,433,246915,265344,256796,275225,295669,325544,2621,2765,0,0,0,0,298290,328309,0,0,3848150,4349284,0,0,0,22606,0,0,3848150,4371890,4403236,4975424,3574699,6665076,3203117,6042324,371582,622752,0,0,156438,155615,215144,467137,0,0,8033,9788,43946,41668,51619,85248,171089,230527,59761,289978,4966,6597,-1759,-1660,644,169,0,0,3413,307,50738,282905,0
73,0,0,0,0,0,0,0,0,39291,39299,0,0,0,0,1568,686,742,742,41601,40727,1327,1202,380,163,8395,11810,4190,5875,8229,2305,0,0,22521,21355,64122,62082,20980,20980,0,0,0,0,0,0,1057,1057,28947,24348,50984,46385,0,0,1989,1883,0,0,0,0,1989,1883,0,0,10141,10834,384,375,567,620,0,0,11092,11829,64065,60097,53985,52052,31512,33226,22473,18826,1271,1615,20831,21042,371,-3831,0,0,548,464,0,0,6204,3274,5302,4578,1821,-4671,313,334,253,850,95,144,287,844,0,0,1700,-4305,0
74,222,222,0,0,0,0,0,0,22940,22844,0,0,0,0,0,0,0,0,23162,23066,106,90,1363,1435,20115,16200,12402,0,22,1594,35,0,34043,19319,57205,42385,25,25,0,0,21160,21160,38802,38802,1591,1591,-228386,-233670,-166808,-172092,0,0,0,0,0,0,0,0,0,0,3184,3184,222645,208575,0,0,0,0,60,471,225889,212230,59081,40138,34175,0,61418,0,-27243,0,0,0,8282,0,-35525,0,0,0,9,0,0,0,15341,13811,22588,18363,-42763,-4552,79,8,-2258,0,61,0,5885,0,0,0,-37018,-4560,0
75,0,0,0,0,0,0,0,0,1627,1220,0,0,0,0,0,30,0,0,1627,1250,3862,67213,0,4772,14564,25576,0,103,1737,65,2356,439,22519,98168,24146,99418,3,3,0,0,0,0,0,0,0,0,9974,9977,9977,9980,340,182,0,9,0,0,0,0,340,191,0,0,14295,85041,0,0,0,151,0,0,14295,85192,24612,95363,44618,110361,27601,80041,17017,30320,0,0,19158,28356,-2141,1964,0,0,1,36,48,93,3041,0,1239,172,-386,1735,5,128,-100,-26,0,8,0,31,50,296,-441,1334,0
76,0,0,0,0,0,0,0,0,15511,10107,0,0,0,0,739,694,0,0,16250,10801,52307,28152,0,0,373014,531783,188,0,494,3311,42640,1115,468643,564361,484893,575162,9,9,0,0,471,471,0,0,2,2,257701,276050,258183,276532,0,0,10796,15253,0,0,0,0,10796,15253,5,0,180365,253780,0,0,21185,21021,0,0,201555,274801,470534,566586,620083,875083,523062,826389,97021,48694,0,0,43232,42795,53789,5899,0,0,1764,1046,54,0,950,2911,19880,11396,36569,-1540,4638,2783,-855,-1078,7127,4508,22,18,1244,1874,23582,-10687,0
77,71,65,0,0,0,0,0,0,66863,64843,0,0,156841,209897,6189,10316,0,0,229964,285121,10602,17281,2,0,344555,374615,0,198,213927,275629,29086,54175,598172,721898,828136,1007019,1014,1014,0,0,0,0,0,0,50,50,533283,628228,534347,629292,0,0,9426,14827,8968,1559,0,0,18394,16386,17186,4442,201060,317078,0,0,42146,45296,0,0,260392,366816,813133,1012494,882827,896453,681441,627892,201386,268561,0,0,104286,118786,97100,149775,8378,12757,18133,14211,1616,1092,118338,107870,72981,116739,167352,166782,15322,32111,10414,1010,1136,5562,1211,3769,15,4,152090,132874,0
78,0,0,0,0,0,0,0,0,325269,914573,0,0,20,20,535736,609598,601256,621521,1462281,2145712,1981572,1703022,831,0,2559971,2160671,0,39937,1035872,595449,27167,25306,5605413,4524385,7067694,6670097,3244115,3244115,0,0,0,628515,177745,177745,10718,10718,-2646087,-3346914,786491,714179,3946624,4044027,6398,8340,0,0,0,0,3953022,4052367,30296,170644,2136142,1687161,0,0,169976,116454,0,0,2336414,1974259,7075927,6740805,4522662,4474220,4756331,4510194,-233669,-35974,0,0,0,0,-233669,-35974,0,0,11018,38144,508204,308546,259664,293309,2750952,603627,-3222143,-616694,0,0,420129,82679,1120,178,230240,63884,6891,795,-2999914,-553783,0
79,0,0,0,0,0,0,0,0,37338,39781,0,0,0,0,318,214,0,0,37656,39995,55342,10051,0,61,4790,5565,0,0,117,6,46,0,60295,15683,97951,55678,1466,1466,0,0,16584,16584,0,0,1495,1495,17196,17142,36741,36687,0,0,26,26,0,0,0,0,26,26,4030,366,56412,17299,0,0,0,0,0,0,60442,17665,97209,54378,24696,33822,25143,30085,-447,3737,0,0,3448,300,-3895,3437,0,0,0,0,427,497,5816,260,871,2910,623,290,62,37,0,0,0,0,127,110,0,0,688,363,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12454,11919,234,136,12688,12055,182,131,2,1627,1314679,1260151,50665,10634,66,6,0,7,1365594,1272556,1378282,1284611,78,78,0,0,0,0,0,0,11,11,78115,75253,78204,75342,0,0,3755,3755,0,0,0,0,3755,3755,31688,10723,1180296,1234290,0,0,415,671,49701,0,1262100,1245684,1344059,1324781,259271,310720,229784,278224,29487,32496,0,0,8248,16604,21239,15892,0,0,3556,2511,2795,667,7827,29833,19798,33636,10029,13933,805,134,6376,-340,3771,0,1676,648,47,451,7082,13996,0
81,0,0,0,0,0,0,0,0,57451,54744,0,0,0,0,13606,13606,0,0,71057,68350,10194,10046,1,0,18835,48122,0,0,8,0,4,4,29042,58172,100099,126522,27575,27575,0,0,59012,59012,0,0,1406,1406,-963240,-833870,-875247,-745877,346502,346502,2484,2484,0,0,0,0,348986,348986,24542,24542,581206,496311,0,0,18836,19129,0,0,624584,539982,98323,143091,132595,16138,611674,0,-479079,16138,0,0,60149,18938,-539228,-2800,0,0,0,0,24431,0,374638,2892,232463,1501,-421484,-1409,0,0,-62436,0,5870,0,14658,0,99561,0,-512257,-1409,0
82,0,0,0,0,0,0,0,0,23050,2204,0,0,109116,0,68069,69738,0,0,200235,71942,27427,0,0,0,196656,1468,0,0,22938,20540,87,0,247108,22008,447343,93950,37231,37231,0,0,6552,22,29251,29251,1810,1810,69618,-269702,144462,-201388,0,0,491,0,11965,0,0,0,12456,0,0,0,304538,284214,0,0,2252,0,0,0,306790,284214,463708,82826,3414,50,1698,83,1716,-33,0,0,21790,13263,-20074,-13296,0,0,0,8,0,318,151853,67156,245866,378657,-114087,-325107,0,0,-757,-59630,7,490,21579,1292,910,137,-93425,-324442,0
83,0,0,0,0,0,0,0,0,49902,41064,0,0,0,1133,0,0,0,3065,49902,45262,12435,11691,1133,161,74410,68162,0,0,114813,123921,486,175,203277,204110,253179,249372,37,37,0,0,0,0,8553,6679,766,766,177557,181920,186913,189402,0,0,20,20,0,0,0,0,20,20,0,0,56239,46497,0,0,4074,5886,0,0,60313,52383,247246,241805,628343,438891,590223,434573,38120,4318,0,0,0,0,38120,4318,0,534,7619,5763,111,299,14406,27095,28515,20215,31519,17196,6905,2645,-1499,-1047,682,0,0,418,9,0,23923,14969,0
84,0,0,0,0,0,0,0,0,8568,6167,0,0,113,113,813,146,0,0,9494,6426,8089,7706,0,0,29609,26072,0,0,5,14,0,0,37703,33792,47197,40218,8,8,0,0,0,0,8707,8707,9812,9812,-3118,-7987,15409,10540,0,0,513,901,0,0,0,0,513,901,0,0,30360,28219,0,0,0,0,0,0,30360,28219,46282,39660,17505,18620,8430,8084,9075,10536,0,0,10999,11974,-1924,-1438,0,0,0,0,0,0,2017,2422,1508,1168,-1415,-184,0,0,-47,-185,43,426,730,8,0,37,-728,-639,0
85,0,0,0,0,0,0,0,0,101230,109542,0,0,0,0,0,0,0,0,101230,109542,101924,414110,8,336,296844,264289,34617,3564,213,1019,0,1377,433606,684695,534836,794237,77,77,0,0,12705,12705,0,0,4,4,223728,239207,236514,251993,0,0,297,203,0,0,0,0,297,203,5801,572,290955,526155,0,0,0,0,0,0,296756,526727,533567,778923,536804,682299,427884,531764,108920,150535,0,0,72062,100724,36858,49811,0,0,2932,2613,3922,6134,133111,16989,139725,66146,29254,-2867,7846,3620,0,0,0,0,0,0,1190,1293,20218,-7780,0
