"ID_FIRM","P1110_B","P1110_E","P1120_B","P1120_E","P1130_B","P1130_E","P1140_B","P1140_E","P1150_B","P1150_E","P1160_B","P1160_E","P1170_B","P1170_E","P1180_B","P1180_E","P1190_B","P1190_E","P1100_B","P1100_E","P1210_B","P1210_E","P1220_B","P1220_E","P1230_B","P1230_E","P1240_B","P1240_E","P1250_B","P1250_E","P1260_B","P1260_E","P1200_B","P1200_E","P1600_B","P1600_E","P1310_B","P1310_E","P1320_B","P1320_E","P1340_B","P1340_E","P1350_B","P1350_E","P1360_B","P1360_E","P1370_B","P1370_E","P1300_B","P1300_E","P1410_B","P1410_E","P1420_B","P1420_E","P1430_B","P1430_E","P1450_B","P1450_E","P1400_B","P1400_E","P1510_B","P1510_E","P1520_B","P1520_E","P1530_B","P1530_E","P1540_B","P1540_E","P1550_B","P1550_E","P1500_B","P1500_E","P1700_B","P1700_E","P2110_B","P2110_E","P2120_B","P2120_E","P2100_B","P2100_E","P2210_B","P2210_E","P2220_B","P2220_E","P2200_B","P2200_E","P2310_B","P2310_E","P2320_B","P2320_E","P2330_B","P2330_E","P2340_B","P2340_E","P2350_B","P2350_E","P2300_B","P2300_E","P2410_B","P2410_E","P2421_B","P2421_E","P2430_B","P2430_E","P2450_B","P2450_E","P2460_B","P2460_E","P2400_B","P2400_E","BANKR"
20,0,0,0,0,0,0,0,0,597828,592966,0,0,957,957,16926,16346,0,0,615711,610269,238,146,0,0,26139,33847,38292,5387,24951,32610,10,6,89630,71996,705341,682265,120164,120164,0,0,8411,8411,24383,24383,5902,5902,548575,477536,707435,636396,0,0,10644,10156,0,0,0,0,10644,10156,0,0,14818,14213,0,0,650,595,0,0,15468,14808,733547,661360,131274,121429,121657,120295,9617,1134,0,0,0,0,9617,1134,0,0,2902,6339,0,0,101,1638,2029,1689,10591,7422,0,978,229,-34,567,438,2770,1063,0,0,12794,7069,0
21,26370,34053,23988,70057,0,0,0,0,55947746,59472881,0,0,46851,35280,849196,873694,53339,83944,56947490,60569909,1388405,1618501,7691,6170,7008762,7036212,0,0,1220630,1642274,617175,978046,10242663,11281203,67190153,71851112,30696026,30577661,0,0,10668034,10997353,6626332,6626332,161871,266769,-12652978,-12612490,35499285,35855625,18944451,22407335,126752,177151,0,0,1418902,975630,20490105,23560116,77763,91332,8483105,11130600,133426,129090,2890791,1358316,0,0,11585085,12709338,67574475,72125079,42447045,43313091,35394459,37382090,7052586,5931001,0,0,99592,110432,6952994,5820569,0,282,91332,47428,1917631,1941915,2575345,2361179,3171055,3311897,4530985,2975646,1229393,648224,617479,425042,5459,50663,121773,11088,43553,27111,3374353,2260736,0
22,0,0,0,0,0,0,0,0,10335,7026,0,0,24434,19709,326401,356468,1643,537,362813,383740,2848,977,0,0,614622,464356,0,0,56239,77040,13503,15144,687212,557517,1050025,941257,50426,50426,0,0,0,0,286,286,0,0,-5061608,-5636327,-5010896,-5585615,0,0,342,171,0,0,0,561641,342,561812,113133,113938,5905656,6112176,0,0,70973,28356,0,0,6089762,6254470,1079208,1230667,4110982,4540909,1062393,1117070,3048589,3423839,2919237,3383582,198089,136005,-68737,-95748,0,0,263,0,3596,3596,1231881,930868,2453508,1642807,-1293697,-811283,0,0,252123,122905,347,164,31681,32413,43593,0,-1305956,-779034,0
23,0,0,0,0,0,0,0,0,15028,10623,261,20,2100,1701,4209,55048,517,249,22115,67641,24154,5085,16,0,470428,256210,0,19,21759,19990,503,2127,516860,283431,538975,351072,574718,574718,0,0,1038,1038,0,0,17664,17664,-1465100,-2250400,-871680,-1656980,0,0,534,383,0,0,0,0,534,383,0,0,1275524,1829799,0,0,84663,139091,0,0,1360187,1968890,489041,312293,4224576,4243457,971446,928997,3253130,3314460,3088130,3122598,139619,148098,25381,43764,0,0,5782,5509,0,0,873890,318042,1204022,1140551,-298969,-773236,18400,0,73023,115102,198,128,4036,50946,492,10216,-314023,-732634,0
24,0,0,0,0,0,0,0,0,645518,523566,0,0,0,0,12453,15824,0,0,657971,539390,6,3,0,0,26430,34034,193777,161314,18158,10454,249,14,238620,205819,896591,745209,39676,644267,0,0,0,0,0,0,0,0,814599,51865,854275,696132,0,0,0,0,0,0,0,0,0,0,0,0,21723,21682,48,0,3947,1647,0,0,25718,23329,879993,719461,141159,78551,104562,58134,36597,20417,0,0,48794,39053,-12197,-18636,0,0,17174,10816,0,0,61189,347820,98617,399642,-32451,-59642,0,0,-6499,-7194,0,0,1360,3376,0,0,-31091,-56266,0
25,8847,7614,0,0,0,0,0,0,18666513,19370751,0,0,19843435,16132084,55784,92658,0,0,38574579,35603107,315704,323884,0,0,10286274,8164163,5761553,12154407,1241,8795,2,0,16364774,20651249,54939353,56254356,397001,397001,-415197,-415197,15973742,16802116,52652,52652,19417,19417,36051558,38924589,52079173,55780578,333079,281498,614387,670593,0,0,0,0,947466,952091,1836425,2270,478528,322092,0,0,15393,36432,23603,4265,2353949,365059,55380588,57097728,5033044,4951466,1498066,1517701,3534978,3433765,0,0,252856,256166,3282122,3177599,136686,83457,3448323,2632035,615745,88856,518743,645147,616699,1957087,6153430,4492295,1071527,953902,17642,145608,69471,101470,20850,29108,5019,4370,5028263,3461661,0
26,0,0,0,0,0,0,0,0,41265717,39754511,0,0,7032,121505,63662,52793,1615566,1452578,42951977,41381387,685702,820500,5936,4990,5033373,3393233,0,0,3946,1617931,38820,4111,5767777,5840765,48719754,47222152,691877,691877,0,0,0,0,0,200848,34190,34190,10408707,5419399,11134774,6346314,19859275,24283603,3956222,4129683,76528,375400,0,4045,23892025,28792731,9146172,6051795,1584740,3785499,1646170,1570187,57284,63602,0,0,12434366,11471083,47461165,46610128,30384644,32038589,20416704,19101363,9967940,12937226,24293,24751,0,0,9943647,12912475,0,0,293340,19516,2695366,2989866,792321,432826,442921,712941,7891021,9662010,708504,1906595,66486,39040,865547,179839,175197,229926,4009,25247,6488158,7780255,0
27,0,0,0,0,0,0,0,0,8377714,8546074,0,0,554778,554778,399516,279437,1566784,1495289,10898792,10875578,623977,793274,26596,23636,5561210,5331310,91,0,1743546,3202664,362337,494154,8317757,9845038,19216549,20720616,4143964,4143964,0,0,2129037,2102986,4,4,98552,117285,-1939034,-1664982,4432523,4699257,5268969,3242660,0,0,0,0,611546,2798341,5880515,6041001,1684688,4223038,4969279,3775462,0,1885,349271,424041,1517253,1525719,8520491,9950145,18833529,20690403,14151013,14991782,12977989,13892983,1173024,1098799,0,0,0,0,1173024,1098799,0,0,148591,150118,666106,631272,1212158,1829999,1052117,1543837,815550,903807,0,212508,88071,-268154,0,0,194854,117978,19073,13014,991331,796263,0
28,156054,187750,30391,28428,0,0,0,0,151469234,167350161,0,0,18493081,18812389,3014056,3048342,1471001,261145,174633817,189688215,824055,903029,189068,223237,6973926,7590170,0,0,7898272,2410151,2254231,3909924,18139552,15036511,192773369,204724726,1796597,8420457,0,0,51028172,50276693,60734400,54245425,187290,566236,6292166,16594048,120038625,130102859,22081721,25914971,4113567,5395734,0,0,2515427,2315896,28710715,33626601,10651421,11125706,27384620,28085148,0,0,1285456,1492914,0,0,39321497,40703768,188070837,204433228,61148527,76379819,50243303,53308449,10905224,23071370,0,0,108116,108559,10797108,22962811,926,789,1872088,540929,1689879,1399029,6609250,5024068,8527754,8203721,9061739,18925847,2173637,3136099,1041732,1277480,145872,1042324,380726,53049,2184,4,7120772,14800469,0
29,0,0,0,0,0,0,0,0,58659,54863,0,0,0,0,6128,7922,0,0,64787,62785,20140,15384,627,627,2611,4164,29,29,0,18,242,12,23649,20234,88436,83019,26,26,0,0,5246,5246,0,0,0,0,-34971,-44168,-29699,-38896,50408,50408,2434,2102,0,0,0,0,52842,52510,18195,20239,50805,51094,0,0,48,0,0,0,69048,71333,92191,84947,39668,2479,44596,10227,-4928,-7748,0,0,13880,2209,-18808,-9957,0,0,0,0,0,0,1865,9900,6057,10873,-23000,-10930,0,0,-1085,-299,3,331,3510,1603,134,0,-19627,-9658,0
